pestiKorName,regCpntQnty,pestiBrandName,compName,useName,indictSymbl,cropName,diseaseWeedName,pestiUse,dilutUnit,useSuittime,useNum
디티아논 수화제,dithianon-75,경농디치,(주)경농,살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
디티아논 수화제,dithianon-75,델란,한국삼공(주),살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
디티아논 수화제,dithianon-75,델란 ,(주)동방아그로,살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
디티아논 수화제,dithianon-75,팜한농디치,(주)팜한농,살균제,카,사과,갈반병,발병초부터 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
디티아논 액상수화제,dithianon-43,델란,(주)경농,살균제,카,사과,갈반병,발병초부터 10일간격 경엽처리,"1,000배",수확 28일 전까지,4회 이내
디티아논 액상수화제,Dithianon-43,미듬탄,아그리젠토(주),살균제,카,사과,갈반병,"발병초부터 10일간격, 경엽처리","1,000배",수확 28일 전까지,4회 이내
디티아논 입상수화제,Dithianon-44,델란,(주)농협케미컬,살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,4회 이내
디티아논 입상수화제,dithianon-66,델란,(주)농협케미컬,살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,500배",수확 20일 전까지,4회 이내
디티아논 입상수화제,dithianon-66,델란,한국바스프(주),살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,500배",수확 20일 전까지,4회 이내
디티아논 입상수화제,dithianon-66,델란,한국삼공(주),살균제,카,사과,갈반병,발병초 10일간격 경엽처리,"1,500배",수확 20일 전까지,4회 이내
디티아논 입상수화제,Dithianon-66,디치원,(주)케이씨생명과학,살균제,카,사과,갈반병,발생초 10일간격 경엽처리,"1,500배",수확 20일 전까지,4회 이내
디티아논.메트코나졸 입상수화제,dithianon-30metconazole-5,리스펙트,(주)동방아그로,살균제,카+사1,사과,갈반병,발병초 10일간격 경엽처리,"1,500배 ",수확 14일 전까지,4회 이내
디티아논.크레속심메틸 액상수화제,dithianon-15kresoxim-methyl-10,수고탄,한국삼공(주),살균제,카+다3,사과,갈반병,발병초 10일간격  경엽처리,"1,000배",수확 14일 전까지,5회 이내
디티아논.티오파네이트메틸 수화제,dithianon-30thiophanate-methyl-40,델란티,한국삼공(주),살균제,카+나1,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 20일 전까지,5회 이내
디티아논.플룩사피록사드 액상수화제,Dithianon-25fluxapyroxad-3,뉴페이스,(주)경농,살균제,카+다2,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,4회 이내
디티아논.피라클로스트로빈 유현탁제,dithianon-24pyraclostrobin-8,매카니,(주)팜한농,살균제,카+다3,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
디티아논.피라클로스트로빈 입상수화제,dithianon-12pyraclostrobin-4,매카니,(주)팜한농,살균제,카+다3,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 20일 전까지,5회 이내
디티아논.피라클로스트로빈 입상수화제,dithianon-12pyraclostrobin-4,매카니,한국바스프(주),살균제,카+다3,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 20일 전까지,5회 이내
디페노코나졸 분산성액제,difenoconazole-5,푸리온,(주)한얼싸이언스,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"1,000배",수확 14일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,균가네,선문그린사이언스(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,difenoconazole-10,밀고,신젠타코리아(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,유틸리티,(주)천지인바이오텍,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,젠토왕,아그리젠토(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,팜존,(주)케이씨생명과학,살균제,사1,사과,갈반병,발병초부터 10일간격 경엽처리,"2,000배 ",수확 7일 전까지,5회 이내
디페노코나졸 수화제,difenoconazole-10,푸르겐,(주)경농,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,푸른탄,인바이오(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,푸리온,(주)한얼싸이언스,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,핵탄,(주)유일,살균제,사1,사과,갈반병,발병초부터 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 수화제,Difenoconazole-10,흑성.갈반뚝,(주)대유,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 7일 전까지,5회 이내
디페노코나졸 액상수화제,Difenoconazole-10,다이안켓,위즈팜,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
디페노코나졸 액상수화제,difenoconazole-10,로티플,인바이오(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
디페노코나졸 액상수화제,Difenoconazole-10,매직덴트,㈜이엑스아이디,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
디페노코나졸 액상수화제,Difenoconazole-10,아이템,지넥스(주),살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
디페노코나졸 액상수화제,difenoconazole-10,푸름이,(주)팜한농,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
디페노코나졸 입상수화제,Difenoconazole-10,갈반․탄저․마름뚝,(주)대유,살균제,사1,사과,갈반병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
